Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,19/05/2025,909547,Regulamento,regulamento,data/raw/50473039000102/909547_regulamento_regulamento_909547_2025-05-19.pdf,7,\bamortiza[cç][aã]o\b,"7 JUR_SP - 54419903v5 - 2154004.552458 pagamentos referentes aos D ireitos Creditórios adquiridos pelo Fundo. “Cotas” significa, em conjunto, as Subclasses de Cotas da Classe Única do Fundo, representativas de frações ideais do patrimônio da Classe Única, cujas características e direitos, bem como as condições de emissão, subscrição, integralização, remuneração e amortização estarão descritas no Anexo Descritivo da Classe Única e nos respectivos Apêndices. “Cotista” significa o titular de Cotas emitidas pelo Fundo. “Contratos de Cessão"" tem o significado atribuído no Anexo Descritivo. “Custodiante” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., instituição devidamente autorizada pela CVM para o exercício da atividade de administração de carteira de valores mobiliários, custódia de va...",909547_regulamento_regulamento_909547_2025-05-19.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,19/05/2025,909547,Regulamento,regulamento,data/raw/50473039000102/909547_regulamento_regulamento_909547_2025-05-19.pdf,10,\bamortiza[cç][aã]o\b,"... da Classe Única, nos termos descritos no Anexo Descritivo, e conforme previsto na Resolução CVM 175/22, conforme aplicável. 2.3 Composição do Patrimônio do Fundo. O patrimônio do Fundo será formado por Classe Única , sendo preservada a possibilidade de constituição de Subclasses, na forma do §3º, do artigo 5º, da Resolução CVM 175/22. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização das Subclasses da Classe Única serão descritos no Anexo Descritivo e em seus respectivos Apêndices , os quais passarão a integrar o presente Regulamento. 2.3.1 Mediante autorização d os Cotistas em sede de Assembleia Geral e realização das adaptações necessárias ao presente Regulamento e ao seu Anexo Descritivo, a partir da entrada em vigor da integralidade do artigo 5º da Resolução CVM 175/22, o Fundo poderá criar diferentes Classes de cotas, c...",909547_regulamento_regulamento_909547_2025-05-19.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,19/05/2025,909547,Regulamento,regulamento,data/raw/50473039000102/909547_regulamento_regulamento_909547_2025-05-19.pdf,16,"\bamortiza[cç][aã]o\b, \bvencimento\b","...s Creditórios , incluindo: (1) descrição de contratos relevantes firmados com esse propósito, se houver; e (2) indicação do caráter definitivo, ou não, da cessão de Direitos Creditórios; (e) impacto dos eventos de pré -pagamento no valor do Patrimônio Líquido e na rentabilidade da carteira do Fundo e/ou da Classe Única; (f) condições de alienação, a qualquer título, de Direitos Creditórios, incluindo: (1) momento da alienação (antes ou depois do vencimento); e (2) motivação da alienação; (g) impacto no valor do Patrimônio Líquido e na rentabilidade da carteira de ativos de uma possível descontinuidade, a qualquer título, da originação ou cessão de Direitos Creditórios; e (h) informações sobre fatos ocorridos que afetaram a regularidade dos fluxos financeiros oriundos dos Direitos Creditórios, incluindo, mas não se limitando, a quaisquer eventos que acarretem na liquidação ou amortização antecipada...",909547_regulamento_regulamento_909547_2025-05-19.pdf p.16
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,19/05/2025 10:00,909546,AGO/E,assembleia,data/raw/50473039000102/909546_assembleia_assembleia_909546_2025-05-19.pdf,2,\bamortiza[cç][aã]o\b,"...escritivo, as seguintes matérias: (i) APROVAR a alteração do Regulamento, o qual passará a viger com a redação constante no Anexo B ao presente instrumento, de modo a: (a) alterar o percentual da relação mínima a ser observada entre o valor das Cotas Subordinadas Juniores e o Patrimônio Líquido. Para tanto, serão promovidas as seguintes modificações: (1) unificação dos atuais conceitos de “Índice de Subordinação Base” e “Índice de Subordinação – Amortização”, passando a adotar-se exclusivamente o conceito de “Índice de Subordinação”, o qual corresponderá a uma relação mínima de 10% (dez por cento) entre o valor total das Cotas Subordinadas Juniores e o Patrimônio Líquido do Fundo ; e ( 2) exclusão formal do termo definido “Excesso de Subordinação”, sem prejuízo da aplicação do conceito à amortização extraordinária das Cotas Subordinadas Juniores, de modo que tais cotas poderão ser amortizadas extra...",909546_assembleia_assembleia_909546_2025-05-19.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023,468756,Regulamento,regulamento,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,4,\bvencimento\b,"...ssamente estabelecido neste Regulamento, referências a itens ou anexos aplicam -se a itens ou anexos deste Regulamento; (e) todas as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo-se o dia do começo e incluindo-se o dia do vencimento. “Acordo Operacional” significa o instrumento particular celebrado entre o Devedor e o Mercado Crédito para viabilizar a operação de pagamento com sub-rogação, na qual o Mercado Crédito se sub-roga nos direitos dos Estabelecimentos Comerciais de receber o valor devido pelo Devedor pela respectiva Transação de Pagamento. “Administradora” conforme definido no Artigo 6.1, significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A...",468756_regulamento_regulamento_468756_2023-05-22.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023,468756,Regulamento,regulamento,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,5,\bamortiza[cç][aã]o\b,"...de Agente de Pagamento e Registro, observadas as disposições do Artigo 7.6. deste Regulamento. “Alocação Mínima” tem o significado que lhe é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do valor de principal das Cotas, calculado nos termos deste Regulamento e do(s) Suplemento(s).",468756_regulamento_regulamento_468756_2023-05-22.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023,468756,Regulamento,regulamento,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,6,"\bamortiza[cç][aã]o\b, \bvencimento\b",6 “Amortização Extraordinária” tem seu significado atribuído no Artigo 11.2.2 deste Regulamento. “ANBIMA” significa a Associação Brasileira das Entidades do Mercado Financeiro e de Capitais. “Anexo” significa qualquer dos anexos a este Regulamento e que constitui parte integrante e inseparável do presente Regulamento. “Arquivo de Oferta” significa o arquivo eletrônico ou registros gerados eletronicamente com base no Sistema Mercado Pago e/ou nos sistemas de Me...,468756_regulamento_regulamento_468756_2023-05-22.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023,468756,Regulamento,regulamento,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,7,\bvencimento\b,"...vo Lastro” significa o arquivo eletrônico co ntendo informações complementares ao Arquivo de Sub -rogação a respeito das características dos Direitos Creditórios Mercado Crédito, permitindo a identificação individualizada de cada U.R. associada à Dívida objeto de sub -rogação que originou os Direitos Creditórios Mercado Crédito adquiridos pelo Fundo , ao nível de U.R., incluindo , entre outras informações , o valor da Dívida e a sua nova data de vencimento, e que será entregue pelo Mercado Crédito ao Fundo, nos termos do Contrato de Cessão dos Direitos Creditórios do Mercado Crédito, após cada Formalização Eletrônica de Cessão. “Arranjo de Pagamento Aberto” significa o arranjo de pagamento em que as atividades relacionadas à prestação de serviços de pagamento por ele disciplinadas são realizadas por qualquer instituição que atenda aos critérios de participação estabelecidos no regulamento do arran...",468756_regulamento_regulamento_468756_2023-05-22.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023,468756,Regulamento,regulamento,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,11,"\bamortiza[cç][aã]o\b, \bresgate\b","...nstituição(ões) integrante(s) do sistema de distribuição de valores mobiliários que ficarão responsáveis por realizar a distribuição de Cotas Seniores e Cotas Subordinadas Mezanino. “Cotas” significam as Cotas Seniores, Cotas Subordinadas Mezanino e as Cotas Subordinadas Juniores quando referidas em conjunto. “Cotas Seniores” significam as cotas sênior do Fundo, que não estão subordinadas a nenhuma outra classe de Cotas para fins de remuneração, amortização e resgate, bem como para a distribuição de rendimentos.",468756_regulamento_regulamento_468756_2023-05-22.pdf p.11
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,22/05/2023 10:00,468755,AGE,assembleia,data/raw/50473039000102/468755_assembleia_assembleia_468755_2023-05-22.pdf,2,\bdata de pagamento\b,"Esta folha é parte integrante da ata da Assembleia Geral Extraordinária de Cotistas do SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, realizada em 22 de maio de 2023 JUR_SP - 48596288v5 - 2154004.508546 - 2 - (i) APROVAR a alteração do Regulamento , o qual passará a viger com a redação constante no Anexo B ao presente instrumento ; (ii) APROVAR a majoração extraordinária da Taxa de Administração a ser paga na próxima data de pagamento pelo Fundo, em montante único, fixo, suficiente para incluir os itens (a) e (b) abaixo e seus respectivos subitens, observado que, para fins de apuração da Taxa de Administração referente aos meses subsequentes, deverão ser observadas as condições constantes do Regulamento. Dessa forma, a majoração extraordinária não terá reflexos nos documentos do Fundo, tratando - se de um aumento esporádico. (a) a remuneração dos coordenadores pela prestação ...",468755_assembleia_assembleia_468755_2023-05-22.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/05/2025,911027,Aviso ao Mercado,emissao,data/raw/50473039000102/911027_emissao_emissao_911027_2025-05-23.pdf,2,\bcronograma\b,"... As características das Cotas Seniores estão descritas no s respectivos Apêndices ao regulamento o Fundo (""Regulamento""). Exceto quando especificamente definidos neste Aviso ao Mercado, os termos aqui utilizados iniciados em letra maiúscula terão o significado a eles atribuído no Regulamento. A Oferta é destinada exclusivamente a investidores profissionais, assim definidos nos termos do artigo 11 da Resolução da CVM n° 30, de 11 de maio de 2021. CRONOGRAMA ESTIMADO DAS ETAPAS DA OFERTA Encontra-se abaixo o cronograma estimado para as principais etapas da Oferta: ORDEM DOS EVENTOS EVENTOS DATA PREVISTA (1) 1. Protocolo do requerimento de registro da Oferta na CVM 23/05/2025 2. Divulgação deste Aviso ao Mercado 23/05/2025 3. Obtenção do registro da Oferta na CVM A partir de 28/05/2025 4. Divulgação do Anúncio de Início A partir de 28/05/2025 5. Data da primeira Integralização 29/05/2025 6. Data máxi...",911027_emissao_emissao_911027_2025-05-23.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558430,Aviso ao Mercado,emissao,data/raw/50473039000102/558430_emissao_emissao_558430_2023-11-23.pdf,2,\bcronograma\b,"2 Exceto quando especificamente definidos neste Aviso ao Mercado, os termos aqui utilizados iniciados em letra maiúscula terão o significado a eles atribuído no Regulamento. A Oferta é destinada exclusivamente a investidores profissionais, assim definidos nos termos do artigo 11 da Resolução da CVM n° 30, de 11 de maio de 2021. CRONOGRAMA ESTIMADO DAS ETAPAS DA OFERTA Encontra-se abaixo o cronograma estimado para as principais etapas da Oferta: ORDEM DOS EVENTOS EVENTOS DATA PREVISTA(1) 1. Protocolo do requerimento de registro da Oferta na CVM 23/11/2023 2. Divulgação deste Aviso ao Mercado 23/11/2023 3. Obtenção do registro da Oferta na CVM A partir de 24/11/2023 4. Divulgação do Anúncio de Início A partir de 24/11/2023 5. Data máxima de divulgação do Anúncio de Encerramento 21/...",558430_emissao_emissao_558430_2023-11-23.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558844,Regulamento,regulamento,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,4,\bvencimento\b,"...ssamente estabelecido neste Regulamento, referências a itens ou anexos aplicam -se a itens ou anexos deste Regulamento; (e) todas as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo-se o dia do começo e incluindo-se o dia do vencimento. “Acordo Operacional” significa o instrumento particular celebrado entre o Devedor e o Mercado Crédito para viabilizar a operação de pagamento com sub-rogação, na qual o Mercado Crédito se sub-roga nos direitos dos Estabelecimentos Comerciais de receber o valor devido pelo Devedor pela respectiva Transação de Pagamento. “Administradora” conforme definido no Artigo 6.1, significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A...",558844_regulamento_regulamento_558844_2023-11-23.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558844,Regulamento,regulamento,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,5,\bamortiza[cç][aã]o\b,"...de Agente de Pagamento e Registro, observadas as disposições do Artigo 7.6. deste Regulamento. “Alocação Mínima” tem o significado que lhe é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do valor de principal das Cotas, calculado nos termos deste Regulamento e do(s) Suplemento(s).",558844_regulamento_regulamento_558844_2023-11-23.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558844,Regulamento,regulamento,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,6,"\bamortiza[cç][aã]o\b, \bvencimento\b",6 “Amortização Extraordinária” tem seu significado atribuído no Artigo 11.2.2 deste Regulamento. “ANBIMA” significa a Associação Brasileira das Entidades do Mercado Financeiro e de Capitais. “Anexo” significa qualquer dos anexos a este Regulamento e que constitui parte integrante e inseparável do presente Regulamento. “Arquivo de Oferta” significa o arquivo eletrônico ou registros gerados eletronicamente com base no Sistema Mercado Pago e/ou nos sistemas de Me...,558844_regulamento_regulamento_558844_2023-11-23.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558844,Regulamento,regulamento,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,7,\bvencimento\b,"...vo Lastro” significa o arquivo eletrônico co ntendo informações complementares ao Arquivo de Sub -rogação a respeito das características dos Direitos Creditórios Mercado Crédito, permitindo a identificação individualizada de cada U.R. associada à Dívida objeto de sub -rogação que originou os Direitos Creditórios Mercado Crédito adquiridos pelo Fundo , ao nível de U.R., incluindo , entre outras informações , o valor da Dívida e a sua nova data de vencimento, e que será entregue pelo Mercado Crédito ao Fundo, nos termos do Contrato de Cessão dos Direitos Creditórios do Mercado Crédito, após cada Formalização Eletrônica de Cessão. “Arranjo de Pagamento Aberto” significa o arranjo de pagamento em que as atividades relacionadas à prestação de serviços de pagamento por ele disciplinadas são realizadas por qualquer instituição que atenda aos critérios de participação estabelecidos no regulamento do arran...",558844_regulamento_regulamento_558844_2023-11-23.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023,558844,Regulamento,regulamento,data/raw/50473039000102/558844_regulamento_regulamento_558844_2023-11-23.pdf,11,"\bamortiza[cç][aã]o\b, \bresgate\b","...nstituição(ões) integrante(s) do sistema de distribuição de valores mobiliários que ficarão responsáveis por realizar a distribuição de Cotas Seniores e Cotas Subordinadas Mezanino. “Cotas” significam as Cotas Seniores, Cotas Subordinadas Mezanino e as Cotas Subordinadas Juniores quando referidas em conjunto. “Cotas Seniores” significam as cotas sênior do Fundo, que não estão subordinadas a nenhuma outra classe de Cotas para fins de remuneração, amortização e resgate, bem como para a distribuição de rendimentos.",558844_regulamento_regulamento_558844_2023-11-23.pdf p.11
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,23/11/2023 14:00,558803,AGE,assembleia,data/raw/50473039000102/558803_assembleia_assembleia_558803_2023-11-23.pdf,2,\bvencimento\b,"...lecimentos Comerciais, o Fundo somente poderá adquirir Direitos Creditórios dos Estabelecimentos Comerciais, caso sejam atendidos, nas respectivas Datas de Aquisição e Pagamento, individualmente e de forma cumulativa, os seguintes critérios de elegibilidade (“Critérios de Elegibilidade dos Direitos Creditórios dos Estabelecimentos Comerciais”): (...) (v) os Direitos Creditórios dos Estabelecimentos Comerciais ofertados deverão ter prazo final de vencimento de, no máximo, 365 (trezentos e sessenta e cinco ) dias, contados da respectiva Data de Aquisição e Pagamento; e (...) 4.1.2. Critério de Elegibilidade dos Direitos Creditórios do Mercado Crédito. Com relação especificamente aos Direitos Creditórios do Mercado Crédito, o Fundo somente poderá adquirir Direitos Creditórios do Mercado Crédito, caso sejam atendidos, nas respectivas Datas de Aquisição e Pagamento, individualmente e de forma cumulativ...",558803_assembleia_assembleia_558803_2023-11-23.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,24/05/2023,468767,Anúncio de Início,emissao,data/raw/50473039000102/468767_emissao_emissao_468767_2023-05-24.pdf,2,\bcronograma\b,"...rfazendo a Oferta o montante de R$ 1.500.000.000,00 (um bilhão e quinhentos milhões de reais). As Cotas Seniores serão integralizadas exclusivamente em moeda corrente nacional, em 29 de maio de 2023 (""Data de Liquidação""), pelo Valor da Cota. Exceto quando especificamente definidos neste Anúncio de Início, os termos aqui utilizados iniciados em letra maiúscula terão o significado a eles atribuído no regulamento do Fundo em vigor (""Regulamento""). CRONOGRAMA ESTIMADO DAS ETAPAS DA OFERTA Encontra-se abaixo o cronograma estimado para as principais etapas da Oferta: Ordem dos Eventos Eventos Data Prevista(1) 1 Registro automático da Oferta na CVM 24/05/2023 2 Divulgação deste Anúncio de Início 24/05/2023 4 Data de Liquidação 29/05/2023 5 Data Máxima para Divulgação do Anúncio de Encerramento 30/05/2023 (1) As datas previstas para os eventos futuros são meramente indicativas e estão sujeitas a alteraçõ...",468767_emissao_emissao_468767_2023-05-24.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,26/05/2025,912093,Instrumento Particular de Emissão de Cotas,assembleia,data/raw/50473039000102/912093_assembleia_assembleia_912093_2025-05-26.pdf,3,\bamortiza[cç][aã]o\b,"...o); Quantidade de Cotas Seniores da 5ª (quinta) Série 1.500.000 (um milhão e quinhentas mil) Cotas Seniores; Valor Nominal Unitário de Emissão: R$ 1.000,00 (mil reais); Forma de Integralização: à vista na respectiva data de integralização e/ou conforme chamada de capital, nos termos dispostos no boletim de subscrição; Data de Emissão da 5ª (quinta) Série de Cotas Seniores: A data da primeira in tegralização da 5ª Série de Cotas Seniores. Data de Amortização Final: Data de Aniversário correspondente ao 36º (trigésimo sexto) mês (inclusive) a contar da Data de Emissão da 5ª (quinta) Série Sênior. Spread Sênior 5ª (quinta) Série: Spread de 0,85% (oitenta e cinco centésimos por cento) ao ano, base 252 dias úteis. Índice Referencial das Cotas Seniores: As Cotas Seniores da 5ª Série serão valoradas diariamente, a partir do Dia Útil seguinte à primeira data da integralização das Cotas Seniores da 5ª Série...",912093_assembleia_assembleia_912093_2025-05-26.pdf p.3
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,26/05/2025,912093,Instrumento Particular de Emissão de Cotas,assembleia,data/raw/50473039000102/912093_assembleia_assembleia_912093_2025-05-26.pdf,4,"\bamortiza[cç][aã]o\b, \bcar[eê]ncia\b","4 JUR_SP - 48595943v2 - 2154004.508546 Amortização Final, nos termos do Capítulo 10 do Anexo Descritivo do Regulamento. A meta de Remuneração será determinada por meio da apropriação diária, sob a forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida do Spread Sênior 5ª Série. Período de Carência: o período compreendido entre a Data de Emissão da 5ª (quinta) Série Sênior e a Data de Aniversário correspondente ao 30º (trigésimo)...",912093_assembleia_assembleia_912093_2025-05-26.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,26/05/2025,912093,Instrumento Particular de Emissão de Cotas,assembleia,data/raw/50473039000102/912093_assembleia_assembleia_912093_2025-05-26.pdf,5,"\bamortiza[cç][aã]o\b, \bcar[eê]ncia\b, \bdata de pagamento\b","5 JUR_SP - 48595943v2 - 2154004.508546 Data de Aniversário subsequente ao término do Pe ríodo de Carência Aniversário de Amortização de Principal 1 15/12/2027 16,6700% 2 15/01/2028 20,0000% 3 15/02/2028 25,0000% 4 15/03/2028 33,3300% 5 15/04/2028 50,0000% 6 15/05/2028 100% Data de Pagamento de Remuneração: todas as Datas de Aniversário que ocorrerem a cada 6 (seis) meses, a partir da Data de Aniversário que ocorrer no sexto mês (inclusive) após a Data de Emissão da 5ª (quinta) Série Sênior até a Data de Amortização Final (inclusive). Condições para ...",912093_assembleia_assembleia_912093_2025-05-26.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,27/11/2023,559856,Anúncio de Início,emissao,data/raw/50473039000102/559856_emissao_emissao_559856_2023-11-27.pdf,2,\bcronograma\b,"...s Seniores serão integralizadas à vista, exclusivamente em moeda corrente nacional, pelo Valor da Cota na Data da 1ª Integralização de Cotas Seniores da respectiva série e pelo valor atualizado calculado na forma do Regulamento após tal data. Exceto quando especificamente definidos neste Anúncio de Início, os termos aqui utilizados iniciados em letra maiúscula terão o significado a eles atribuído no regulamento do Fundo em vigor (""Regulamento""). CRONOGRAMA ESTIMADO DAS ETAPAS DA OFERTA Encontra-se abaixo o cronograma estimado para as principais etapas da Oferta: Ordem dos Eventos Eventos Data Prevista(1) (2) 1 Registro automático da Oferta na CVM 27/11/2023 2 Divulgação deste Anúncio de Início 27/11/2023 3 Data Máxima para Divulgação do Anúncio de Encerramento 24/05/2024 (1) As datas previstas para os eventos futuros são meramente indicativas e estão sujeitas a alterações, atrasos e antecipações s...",559856_emissao_emissao_559856_2023-11-27.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/05/2025,912172,Anúncio de Início,emissao,data/raw/50473039000102/912172_emissao_emissao_912172_2025-05-28.pdf,2,\bcronograma\b,"...izadas por meio de chamada de capital , exclusivamente em moeda corrente nacional, pelo Valor da Cota na Data da 1ª Integralização de Cotas Seniores da respectiva série e pelo valor atualizado calculado na forma do Regulamento após tal data. Exceto quando especificamente definidos neste Anúncio de Início , os termos aqui utilizados iniciados em letra maiúscula terão o significado a eles atribuído no regulamento do Fundo em vigor (""Regulamento""). CRONOGRAMA ESTIMADO DAS ETAPAS DA OFERTA Encontra-se abaixo o cronograma estimado para as principais etapas da Oferta: Ordem dos Eventos Eventos Data Prevista (1) (2) 1 Registro automático da Oferta na CVM 28/05/2025 2 Divulgação deste Anúncio de Início 28/05/2025 3 Data da primeira Integralização 29/05/2025 4 Data Máxima para Divulgação do Anúncio de Encerramento Até 180 dias da divulgação do Anúncio de Início (3) (1) As datas previstas para os eventos fu...",912172_emissao_emissao_912172_2025-05-28.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790772,Instrumento Particular de Alteração do Regulamento,regulamento,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,7,\bvencimento\b,"...ssamente estabelecido neste Regulamento, referências a itens ou anexos aplicam-se a itens ou anexos deste Regulamento; (e) todas as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo -se o dia do começo e incluindo-se o dia do vencimento. “Administradora” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., instituição devidamente autorizada pela CVM para o exercício da atividade de administração de carteira de valores mobiliários, custódia de valores mobiliários e escrituração de valores mobiliários, inscrita no CNPJ sob o nº 36.113.876/0001-91, com sede na cidade do Rio de Janeiro, Estado do Rio de Janeiro, na Avenida das Américas, nº 3.434, bloco 07...",790772_regulamento_regulamento_790772_2024-11-28.pdf p.7
